NestID,site,trt,stage,year,date,clutch_size,tot_visits,m_visit_rate,f_visit_rate,obs_alt_visits,obs_nonalt_visits,n_visits,obs_prop_alternation,Alt_score,Series
C16,U,C,E,2021,7/25/21,2,12,0,12,NA,11,11,NA,NA,45
C16,U,C,L,2021,8/2/21,2,16,0,16,NA,15,15,NA,NA,46
C18,U,C,E,2021,6/10/21,2,8,6,2,4,3,7,0.571428571,0.659245629,47
C18,U,C,L,2021,6/19/21,2,18,0,18,NA,17,17,NA,NA,48
C19,U,T,E,2021,7/15/21,3,23,13,10,14,8,22,0.636363636,0.57614509,49
C19,U,T,L,2021,7/23/21,3,14,6,8,6,7,13,0.461538462,-0.142316222,50
C23,U,T,E,2021,7/1/21,4,19,0,19,NA,18,18,NA,NA,51
C23,U,T,L,2021,7/9/21,4,8,8,0,NA,7,7,NA,NA,52
M10,N,C,E,2022,7/2/22,2,6,6,0,NA,5,5,NA,NA,90
M11,N,C,E,2022,6/24/22,3,16,7,9,11,4,15,0.733333333,1.038269159,85
M11,N,C,L,2022,7/2/22,3,9,0,9,NA,8,8,NA,NA,98
M17,N,C,E,2022,5/30/22,2,13,8,5,6,6,12,0.5,0.055569851,86
M17,N,C,L,2022,6/7/22,2,10,0,10,NA,9,9,NA,NA,99
M20,N,T,E,2022,5/27/22,3,18,11,7,11,6,17,0.647058824,0.710035399,87
M20,N,T,L,2022,6/5/22,3,23,23,0,NA,22,22,NA,NA,100
M24,N,T,E,2022,6/17/22,4,15,0,15,NA,14,14,NA,NA,91
M26,N,T,E,2022,6/27/22,3,14,0,14,NA,13,13,NA,NA,92
M26,N,T,L,2022,7/7/22,3,16,0,16,NA,15,15,NA,NA,101
M28,N,C,E,2022,6/27/22,3,14,1,13,2,11,13,0.153846154,0.09393182,88
M28,N,C,L,2022,7/6/22,3,23,0,23,NA,22,22,NA,NA,102
M3,N,C,E,2022,5/27/22,4,19,12,7,11,7,18,0.611111111,0.600405129,83
M3,N,C,L,2022,6/4/22,4,23,0,23,NA,22,22,NA,NA,96
M32,N,T,E,2022,7/13/22,3,18,15,3,3,14,17,0.176470588,-0.455626074,89
M32,N,T,L,2022,7/22/22,3,5,0,5,NA,4,4,NA,NA,103
M34,N,C,E,2022,7/16/22,3,13,0,13,NA,12,12,NA,NA,93
M34,N,C,L,2022,7/24/22,3,3,0,3,NA,2,2,NA,NA,104
M35,N,T,E,2022,6/20/22,2,9,0,9,NA,8,8,NA,NA,94
M35,N,T,L,2022,6/20/22,2,6,0,6,NA,5,5,NA,NA,105
M3b,N,T,E,2022,7/16/22,2,5,4,1,2,2,4,0.5,0.510825624,82
M3b,N,T,L,2022,7/8/22,2,8,8,0,NA,7,7,NA,NA,95
M8,N,C,E,2022,5/31/22,2,22,19,3,4,17,21,0.19047619,-0.32090772,84
M8,N,C,L,2022,6/9/22,2,29,29,0,NA,28,28,NA,NA,97
A92,R,C,E,2022,5/31/22,3,11,5,6,7,3,10,0.7,0.84729786,80
A92,R,C,L,2022,6/8/22,3,39,39,0,NA,38,38,NA,NA,81
A92b,R,T,E,2022,7/10/22,4,11,9,2,3,7,10,0.3,0.198670695,78
A92b,R,T,L,2022,7/20/22,4,15,0,15,NA,14,14,NA,NA,79
C19,U,T,E,2022,6/5/22,3,15,14,1,2,12,14,0.142857143,0.08594243,72
C19b,U,C,E,2022,7/11/22,4,8,4,4,7,NA,7,1,NA,71
C19b,U,C,L,2022,7/19/22,4,26,26,0,NA,25,25,NA,NA,76
C23,U,T,E,2022,7/15/22,2,13,4,9,5,7,12,0.416666667,0,73
C23,U,T,L,2022,7/23/22,2,8,0,8,NA,7,7,NA,NA,77
C33,U,C,E,2022,6/14/22,2,11,4,7,5,5,10,0.5,0.16034265,74
C33,U,C,L,2022,6/22/22,2,10,2,8,3,6,9,0.333333333,0.231801614,75
